=== LOG DLA 30 FLOWS ===

===== RUN 0 =====
FLOW 10 WEIGHTED: 14 -> 4 -> 8 | ACCEPTED
FLOW 11 IP: 2 -> 10 -> 3 | ACCEPTED
FLOW 11 CSPF: 2 -> 10 -> 3 | ACCEPTED
FLOW 11 WEIGHTED: 2 -> 10 -> 3 | ACCEPTED
FLOW 12 IP: 2 -> 6 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 12 CSPF: 2 -> 6 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 12 WEIGHTED: 2 -> 6 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 13 IP: 8 -> 0 -> 5 | ACCEPTED
FLOW 13 CSPF: 8 -> 0 -> 5 | ACCEPTED
FLOW 13 WEIGHTED: 8 -> 0 -> 5 | ACCEPTED
FLOW 14 IP: 8 -> 12 -> 2 | ACCEPTED
FLOW 14 CSPF: 8 -> 12 -> 2 | ACCEPTED
FLOW 14 WEIGHTED: 8 -> 12 -> 2 | ACCEPTED
FLOW 15 IP: 6 -> 11 | ACCEPTED
FLOW 15 CSPF: 6 -> 11 | ACCEPTED
FLOW 15 WEIGHTED: 6 -> 11 | ACCEPTED
FLOW 16 IP: 14 -> 12 | ACCEPTED
FLOW 16 CSPF: 14 -> 12 | ACCEPTED
FLOW 16 WEIGHTED: 14 -> 12 | ACCEPTED
FLOW 17 IP: 9 -> 11 -> 6 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 17 CSPF: 9 -> 11 -> 6 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 17 WEIGHTED: 9 -> 11 -> 0 -> 5 | ACCEPTED
FLOW 18 IP: 7 -> 11 -> 6 -> 2 | ACCEPTED
FLOW 18 CSPF: 7 -> 11 -> 6 -> 2 | ACCEPTED
FLOW 18 WEIGHTED: 7 -> 11 -> 6 -> 2 | ACCEPTED
FLOW 19 IP: 11 -> 7 | ACCEPTED
FLOW 19 CSPF: 11 -> 7 | ACCEPTED
FLOW 19 WEIGHTED: 11 -> 7 | ACCEPTED
FLOW 20 IP: 7 -> 8 -> 4 | ACCEPTED
FLOW 20 CSPF: 7 -> 8 -> 4 | ACCEPTED
FLOW 20 WEIGHTED: 7 -> 8 -> 4 | ACCEPTED
FLOW 21 IP: 8 -> 7 -> 13 | ACCEPTED
FLOW 21 CSPF: 8 -> 7 -> 13 | ACCEPTED
FLOW 21 WEIGHTED: 8 -> 7 -> 13 | ACCEPTED
FLOW 22 IP: 14 -> 4 -> 8 -> 7 | ACCEPTED
FLOW 22 CSPF: 14 -> 4 -> 8 -> 7 | ACCEPTED
FLOW 22 WEIGHTED: 14 -> 4 -> 8 -> 7 | ACCEPTED
FLOW 23 IP: 9 -> 11 | ACCEPTED
FLOW 23 CSPF: 9 -> 11 | ACCEPTED
FLOW 23 WEIGHTED: 9 -> 11 | ACCEPTED
FLOW 24 IP: 7 -> 11 -> 6 -> 2 -> 10 | ACCEPTED
FLOW 24 CSPF: 7 -> 11 -> 6 -> 2 -> 10 | ACCEPTED
FLOW 24 WEIGHTED: 7 -> 13 -> 3 -> 10 | ACCEPTED
FLOW 25 IP: 5 -> 0 -> 13 | ACCEPTED
FLOW 25 CSPF: 5 -> 0 -> 13 | ACCEPTED
FLOW 25 WEIGHTED: 5 -> 0 -> 13 | ACCEPTED
FLOW 26 IP: 14 -> 4 -> 6 -> 11 -> 9 | ACCEPTED
FLOW 26 CSPF: 14 -> 4 -> 6 -> 11 -> 9 | ACCEPTED
FLOW 26 WEIGHTED: 14 -> 12 -> 9 | ACCEPTED
FLOW 27 IP: 14 -> 4 -> 8 -> 7 | ACCEPTED
FLOW 27 CSPF: 14 -> 4 -> 8 -> 7 | ACCEPTED
FLOW 27 WEIGHTED: 14 -> 4 -> 8 -> 7 | ACCEPTED
FLOW 28 IP: 12 -> 8 -> 7 -> 11 | ACCEPTED
FLOW 28 CSPF: 12 -> 8 -> 7 -> 11 | ACCEPTED
FLOW 28 WEIGHTED: 12 -> 9 -> 11 | ACCEPTED
FLOW 29 IP: 8 -> 4 -> 10 | ACCEPTED
FLOW 29 CSPF: 8 -> 4 -> 10 | ACCEPTED
FLOW 29 WEIGHTED: 8 -> 4 -> 10 | ACCEPTED

===== RUN 3 =====
FLOW 0 IP: 3 -> 11 -> 9 | ACCEPTED
FLOW 0 CSPF: 3 -> 11 -> 9 | ACCEPTED
FLOW 0 WEIGHTED: 3 -> 11 -> 9 | ACCEPTED
FLOW 1 IP: 5 -> 0 -> 4 -> 14 | ACCEPTED
FLOW 1 CSPF: 5 -> 0 -> 4 -> 14 | ACCEPTED
FLOW 1 WEIGHTED: 5 -> 0 -> 4 -> 14 | ACCEPTED
FLOW 2 IP: 10 -> 2 -> 6 -> 11 -> 9 | ACCEPTED
FLOW 2 CSPF: 10 -> 2 -> 6 -> 11 -> 9 | ACCEPTED
FLOW 2 WEIGHTED: 10 -> 2 -> 6 -> 11 -> 9 | ACCEPTED
FLOW 3 IP: 0 -> 4 -> 14 | ACCEPTED
FLOW 3 CSPF: 0 -> 4 -> 14 | ACCEPTED
FLOW 3 WEIGHTED: 0 -> 4 -> 14 | ACCEPTED
FLOW 4 IP: 8 -> 4 -> 3 | ACCEPTED
FLOW 4 CSPF: 8 -> 4 -> 3 | ACCEPTED
FLOW 4 WEIGHTED: 8 -> 4 -> 3 | ACCEPTED
FLOW 5 IP: 7 -> 8 | ACCEPTED
FLOW 5 CSPF: 7 -> 8 | ACCEPTED
FLOW 5 WEIGHTED: 7 -> 8 | ACCEPTED
FLOW 6 IP: 6 -> 2 -> 10 | ACCEPTED
FLOW 6 CSPF: 6 -> 2 -> 10 | ACCEPTED
FLOW 6 WEIGHTED: 6 -> 2 -> 10 | ACCEPTED
FLOW 7 IP: 10 -> 2 | ACCEPTED
FLOW 7 CSPF: 10 -> 2 | ACCEPTED
FLOW 7 WEIGHTED: 10 -> 2 | ACCEPTED
FLOW 8 IP: 11 -> 6 -> 4 -> 0 | ACCEPTED
FLOW 8 CSPF: 11 -> 6 -> 4 -> 0 | ACCEPTED
FLOW 8 WEIGHTED: 11 -> 6 -> 4 -> 0 | ACCEPTED
FLOW 9 IP: 12 -> 9 | ACCEPTED
FLOW 9 CSPF: 12 -> 9 | ACCEPTED
FLOW 9 WEIGHTED: 12 -> 9 | ACCEPTED
FLOW 10 IP: 12 -> 8 -> 0 | ACCEPTED
FLOW 10 CSPF: 12 -> 8 -> 0 | ACCEPTED
FLOW 10 WEIGHTED: 12 -> 8 -> 0 | ACCEPTED
FLOW 11 IP: 9 -> 11 | ACCEPTED
FLOW 11 CSPF: 9 -> 11 | ACCEPTED
FLOW 11 WEIGHTED: 9 -> 11 | ACCEPTED
FLOW 12 IP: 12 -> 14 | ACCEPTED
FLOW 12 CSPF: 12 -> 14 | ACCEPTED
FLOW 12 WEIGHTED: 12 -> 14 | ACCEPTED
FLOW 13 IP: 11 -> 7 -> 8 -> 12 | ACCEPTED
FLOW 13 CSPF: 11 -> 7 -> 8 -> 12 | ACCEPTED
FLOW 13 WEIGHTED: 11 -> 7 -> 8 -> 12 | ACCEPTED
FLOW 14 IP: 14 -> 2 | ACCEPTED
FLOW 14 CSPF: 14 -> 2 | ACCEPTED
FLOW 14 WEIGHTED: 14 -> 2 | ACCEPTED
FLOW 15 IP: 0 -> 4 -> 6 -> 2 | ACCEPTED
FLOW 15 CSPF: 0 -> 4 -> 6 -> 2 | ACCEPTED
FLOW 15 WEIGHTED: 0 -> 4 -> 6 -> 2 | ACCEPTED
FLOW 16 IP: 4 -> 10 | ACCEPTED
FLOW 16 CSPF: 4 -> 10 | ACCEPTED
FLOW 16 WEIGHTED: 4 -> 10 | ACCEPTED
FLOW 17 IP: 10 -> 3 -> 13 | ACCEPTED
FLOW 17 CSPF: 10 -> 3 -> 13 | ACCEPTED
FLOW 17 WEIGHTED: 10 -> 3 -> 13 | ACCEPTED
FLOW 18 IP: 8 -> 7 -> 13 | ACCEPTED
FLOW 18 CSPF: 8 -> 7 -> 13 | ACCEPTED
FLOW 18 WEIGHTED: 8 -> 7 -> 13 | ACCEPTED
FLOW 19 IP: 5 -> 0 -> 8 | ACCEPTED
FLOW 19 CSPF: 5 -> 0 -> 8 | ACCEPTED
FLOW 19 WEIGHTED: 5 -> 0 -> 8 | ACCEPTED
FLOW 20 IP: 9 -> 11 -> 3 | ACCEPTED
FLOW 20 CSPF: 9 -> 11 -> 3 | ACCEPTED
FLOW 20 WEIGHTED: 9 -> 13 -> 3 | ACCEPTED
FLOW 21 IP: 14 -> 4 -> 0 | ACCEPTED
FLOW 21 CSPF: 14 -> 4 -> 0 | ACCEPTED
FLOW 21 WEIGHTED: 14 -> 4 -> 0 | ACCEPTED
FLOW 22 IP: 10 -> 2 -> 6 -> 11 | ACCEPTED
FLOW 22 CSPF: 10 -> 2 -> 6 -> 11 | ACCEPTED
FLOW 22 WEIGHTED: 10 -> 4 -> 6 -> 11 | ACCEPTED
FLOW 23 IP: 13 -> 0 -> 5 | ACCEPTED
FLOW 23 CSPF: 13 -> 0 -> 5 | ACCEPTED
FLOW 23 WEIGHTED: 13 -> 0 -> 5 | ACCEPTED
FLOW 24 IP: 9 -> 11 -> 7 -> 8 -> 1 | ACCEPTED
FLOW 24 CSPF: 9 -> 11 -> 7 -> 8 -> 1 | ACCEPTED
FLOW 24 WEIGHTED: 9 -> 12 -> 8 -> 1 | ACCEPTED
FLOW 25 IP: 13 -> 9 | ACCEPTED
FLOW 25 CSPF: 13 -> 9 | ACCEPTED
FLOW 25 WEIGHTED: 13 -> 9 | ACCEPTED
FLOW 26 IP: 1 -> 8 -> 7 | ACCEPTED
FLOW 26 CSPF: 1 -> 8 -> 7 | ACCEPTED
FLOW 26 WEIGHTED: 1 -> 8 -> 7 | ACCEPTED
FLOW 27 IP: 5 -> 0 -> 8 -> 12 | ACCEPTED
FLOW 27 CSPF: 5 -> 0 -> 8 -> 12 | ACCEPTED
FLOW 27 WEIGHTED: 5 -> 0 -> 8 -> 12 | ACCEPTED
FLOW 28 IP: 14 -> 2 | ACCEPTED
FLOW 28 CSPF: 14 -> 2 | ACCEPTED
FLOW 28 WEIGHTED: 14 -> 2 | ACCEPTED
FLOW 29 IP: 6 -> 12 | ACCEPTED
FLOW 29 CSPF: 6 -> 12 | ACCEPTED
FLOW 29 WEIGHTED: 6 -> 12 | ACCEPTED

===== RUN 4 =====
FLOW 0 IP: 3 -> 4 | ACCEPTED
FLOW 0 CSPF: 3 -> 4 | ACCEPTED
FLOW 0 WEIGHTED: 3 -> 4 | ACCEPTED
FLOW 1 IP: 6 -> 11 -> 7 | ACCEPTED
FLOW 1 CSPF: 6 -> 11 -> 7 | ACCEPTED
FLOW 1 WEIGHTED: 6 -> 11 -> 7 | ACCEPTED
FLOW 2 IP: 1 -> 8 -> 0 | ACCEPTED
FLOW 2 CSPF: 1 -> 8 -> 0 | ACCEPTED
FLOW 2 WEIGHTED: 1 -> 8 -> 0 | ACCEPTED
FLOW 3 IP: 14 -> 4 | ACCEPTED
FLOW 3 CSPF: 14 -> 4 | ACCEPTED
FLOW 3 WEIGHTED: 14 -> 4 | ACCEPTED
FLOW 4 IP: 8 -> 0 -> 5 | ACCEPTED
FLOW 4 CSPF: 8 -> 0 -> 5 | ACCEPTED
FLOW 4 WEIGHTED: 8 -> 0 -> 5 | ACCEPTED
FLOW 5 IP: 2 -> 6 -> 11 -> 13 | ACCEPTED
FLOW 5 CSPF: 2 -> 6 -> 11 -> 13 | ACCEPTED
FLOW 5 WEIGHTED: 2 -> 6 -> 11 -> 13 | ACCEPTED
FLOW 6 IP: 3 -> 4 -> 14 | ACCEPTED
FLOW 6 CSPF: 3 -> 4 -> 14 | ACCEPTED
FLOW 6 WEIGHTED: 3 -> 4 -> 14 | ACCEPTED
FLOW 7 IP: 10 -> 2 -> 12 | ACCEPTED
FLOW 7 CSPF: 10 -> 2 -> 12 | ACCEPTED
FLOW 7 WEIGHTED: 10 -> 2 -> 12 | ACCEPTED
FLOW 8 IP: 4 -> 3 | ACCEPTED
FLOW 8 CSPF: 4 -> 3 | ACCEPTED
FLOW 8 WEIGHTED: 4 -> 3 | ACCEPTED
FLOW 9 IP: 4 -> 10 | ACCEPTED
FLOW 9 CSPF: 4 -> 10 | ACCEPTED
FLOW 9 WEIGHTED: 4 -> 10 | ACCEPTED
FLOW 10 IP: 13 -> 9 | ACCEPTED
FLOW 10 CSPF: 13 -> 9 | ACCEPTED
FLOW 10 WEIGHTED: 13 -> 9 | ACCEPTED
FLOW 11 IP: 6 -> 4 -> 8 | ACCEPTED
FLOW 11 CSPF: 6 -> 4 -> 8 | ACCEPTED
FLOW 11 WEIGHTED: 6 -> 4 -> 8 | ACCEPTED
FLOW 12 IP: 3 -> 11 -> 7 | ACCEPTED
FLOW 12 CSPF: 3 -> 11 -> 7 | ACCEPTED
