=== LOG DLA 90 FLOWS ===

===== RUN 0 =====
FLOW 4 WEIGHTED: 9 -> 2 -> 12 | ACCEPTED
FLOW 5 IP: 7 -> 10 -> 4 | ACCEPTED
FLOW 5 CSPF: 7 -> 10 -> 4 | ACCEPTED
FLOW 5 WEIGHTED: 7 -> 10 -> 4 | ACCEPTED
FLOW 6 IP: 1 -> 14 | ACCEPTED
FLOW 6 CSPF: 1 -> 14 | ACCEPTED
FLOW 6 WEIGHTED: 1 -> 14 | ACCEPTED
FLOW 7 IP: 0 -> 2 -> 3 -> 10 | ACCEPTED
FLOW 7 CSPF: 0 -> 2 -> 3 -> 10 | ACCEPTED
FLOW 7 WEIGHTED: 0 -> 2 -> 3 -> 10 | ACCEPTED
FLOW 8 IP: 14 -> 6 | ACCEPTED
FLOW 8 CSPF: 14 -> 6 | ACCEPTED
FLOW 8 WEIGHTED: 14 -> 6 | ACCEPTED
FLOW 9 IP: 11 -> 0 | ACCEPTED
FLOW 9 CSPF: 11 -> 0 | ACCEPTED
FLOW 9 WEIGHTED: 11 -> 0 | ACCEPTED
FLOW 10 IP: 12 -> 2 -> 7 | ACCEPTED
FLOW 10 CSPF: 12 -> 2 -> 7 | ACCEPTED
FLOW 10 WEIGHTED: 12 -> 14 -> 7 | ACCEPTED
FLOW 11 IP: 3 -> 7 -> 5 | ACCEPTED
FLOW 11 CSPF: 3 -> 7 -> 5 | ACCEPTED
FLOW 11 WEIGHTED: 3 -> 7 -> 5 | ACCEPTED
FLOW 12 IP: 3 -> 2 -> 12 | ACCEPTED
FLOW 12 CSPF: 3 -> 2 -> 12 | ACCEPTED
FLOW 12 WEIGHTED: 3 -> 2 -> 12 | ACCEPTED
FLOW 13 IP: 4 -> 6 -> 14 | ACCEPTED
FLOW 13 CSPF: 4 -> 6 -> 14 | ACCEPTED
FLOW 13 WEIGHTED: 4 -> 6 -> 14 | ACCEPTED
FLOW 14 IP: 13 -> 6 -> 14 | ACCEPTED
FLOW 14 CSPF: 13 -> 6 -> 14 | ACCEPTED
FLOW 14 WEIGHTED: 13 -> 6 -> 14 | ACCEPTED
FLOW 15 IP: 10 -> 6 -> 1 | ACCEPTED
FLOW 15 CSPF: 10 -> 6 -> 1 | ACCEPTED
FLOW 15 WEIGHTED: 10 -> 6 -> 1 | ACCEPTED
FLOW 16 IP: 11 -> 13 | ACCEPTED
FLOW 16 CSPF: 11 -> 13 | ACCEPTED
FLOW 16 WEIGHTED: 11 -> 13 | ACCEPTED
FLOW 17 IP: 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 17 CSPF: 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 17 WEIGHTED: 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 18 IP: 6 -> 14 -> 12 -> 8 | ACCEPTED
FLOW 18 CSPF: 6 -> 14 -> 12 -> 8 | ACCEPTED
FLOW 18 WEIGHTED: 6 -> 14 -> 12 -> 8 | ACCEPTED
FLOW 19 IP: 4 -> 9 | ACCEPTED
FLOW 19 CSPF: 4 -> 9 | ACCEPTED
FLOW 19 WEIGHTED: 4 -> 9 | ACCEPTED
FLOW 20 IP: 8 -> 12 -> 14 -> 6 | ACCEPTED
FLOW 20 CSPF: 8 -> 12 -> 14 -> 6 | ACCEPTED
FLOW 20 WEIGHTED: 8 -> 12 -> 13 -> 6 | ACCEPTED
FLOW 21 IP: 0 -> 2 -> 7 | ACCEPTED
FLOW 21 CSPF: 0 -> 2 -> 7 | ACCEPTED
FLOW 21 WEIGHTED: 0 -> 7 | ACCEPTED
FLOW 22 IP: 12 -> 14 -> 6 | ACCEPTED
FLOW 22 CSPF: 12 -> 14 -> 6 | ACCEPTED
FLOW 22 WEIGHTED: 12 -> 14 -> 6 | ACCEPTED
FLOW 23 IP: 2 -> 7 -> 5 | ACCEPTED
FLOW 23 CSPF: 2 -> 7 -> 5 | ACCEPTED
FLOW 23 WEIGHTED: 2 -> 7 -> 5 | ACCEPTED
FLOW 24 IP: 11 -> 0 -> 2 -> 12 | ACCEPTED
FLOW 24 CSPF: 11 -> 0 -> 2 -> 12 | ACCEPTED
FLOW 24 WEIGHTED: 11 -> 12 | ACCEPTED
FLOW 25 IP: 7 -> 10 | ACCEPTED
FLOW 25 CSPF: 7 -> 10 | ACCEPTED
FLOW 25 WEIGHTED: 7 -> 10 | ACCEPTED
FLOW 26 IP: 12 -> 2 | ACCEPTED
FLOW 26 CSPF: 12 -> 2 | ACCEPTED
FLOW 26 WEIGHTED: 12 -> 2 | ACCEPTED
FLOW 27 IP: 6 -> 14 -> 7 -> 5 | ACCEPTED
FLOW 27 CSPF: 6 -> 14 -> 7 -> 5 | ACCEPTED
FLOW 27 WEIGHTED: 6 -> 10 -> 7 -> 5 | ACCEPTED
FLOW 28 IP: 0 -> 2 -> 7 | ACCEPTED
FLOW 28 CSPF: 0 -> 2 -> 7 | ACCEPTED
FLOW 28 WEIGHTED: 0 -> 7 | ACCEPTED
FLOW 29 IP: 11 -> 13 | ACCEPTED
FLOW 29 CSPF: 11 -> 13 | ACCEPTED
FLOW 29 WEIGHTED: 11 -> 13 | ACCEPTED
FLOW 30 IP: 9 -> 4 -> 6 | ACCEPTED
FLOW 30 CSPF: 9 -> 4 -> 6 | ACCEPTED
FLOW 30 WEIGHTED: 9 -> 4 -> 6 | ACCEPTED
FLOW 31 IP: 8 -> 12 -> 2 -> 3 | ACCEPTED
FLOW 31 CSPF: 8 -> 12 -> 2 -> 3 | ACCEPTED
FLOW 31 WEIGHTED: 8 -> 12 -> 3 | ACCEPTED
FLOW 32 IP: 3 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 32 CSPF: 3 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 32 WEIGHTED: 3 -> 12 -> 8 | ACCEPTED
FLOW 33 IP: 6 -> 14 -> 12 -> 8 | ACCEPTED
FLOW 33 CSPF: 6 -> 14 -> 12 -> 8 | ACCEPTED
FLOW 33 WEIGHTED: 6 -> 4 -> 8 | ACCEPTED
FLOW 34 IP: 13 -> 11 -> 4 -> 9 | ACCEPTED
FLOW 34 CSPF: 13 -> 11 -> 4 -> 9 | ACCEPTED
FLOW 34 WEIGHTED: 13 -> 11 -> 9 | ACCEPTED
FLOW 35 IP: 14 -> 6 -> 4 | REJECTED
FLOW 35 CSPF: 14 -> 2 -> 3 -> 10 -> 4 | ACCEPTED
FLOW 35 WEIGHTED: 14 -> 2 -> 0 -> 11 -> 4 | ACCEPTED
FLOW 36 IP: 11 -> 0 | ACCEPTED
FLOW 36 CSPF: 11 -> 0 | ACCEPTED
FLOW 36 WEIGHTED: 11 -> 0 | ACCEPTED
FLOW 37 IP: 13 -> 6 -> 14 | REJECTED
FLOW 37 CSPF: 13 -> 12 -> 14 | ACCEPTED
FLOW 37 WEIGHTED: 13 -> 12 -> 14 | ACCEPTED
FLOW 38 IP: 2 -> 12 -> 8 | ACCEPTED
FLOW 38 CSPF: 2 -> 12 -> 8 | ACCEPTED
FLOW 38 WEIGHTED: 2 -> 12 -> 8 | ACCEPTED
FLOW 39 IP: 6 -> 13 -> 11 -> 0 | ACCEPTED
FLOW 39 CSPF: 6 -> 13 -> 11 -> 0 | ACCEPTED
FLOW 39 WEIGHTED: 6 -> 14 -> 2 -> 0 | ACCEPTED
FLOW 40 IP: 5 -> 7 -> 9 | ACCEPTED
FLOW 40 CSPF: NONE | REJECTED
FLOW 40 WEIGHTED: NONE | REJECTED
FLOW 41 IP: 8 -> 12 -> 14 -> 6 | REJECTED
FLOW 41 CSPF: 8 -> 12 -> 13 -> 6 | ACCEPTED
FLOW 41 WEIGHTED: 8 -> 11 -> 13 -> 6 | ACCEPTED
FLOW 42 IP: 5 -> 7 -> 14 -> 6 | ACCEPTED
FLOW 42 CSPF: NONE | REJECTED
FLOW 42 WEIGHTED: NONE | REJECTED
FLOW 43 IP: 8 -> 9 | ACCEPTED
FLOW 43 CSPF: 8 -> 9 | ACCEPTED
FLOW 43 WEIGHTED: 8 -> 9 | ACCEPTED
FLOW 44 IP: 7 -> 9 | ACCEPTED
FLOW 44 CSPF: 7 -> 9 | ACCEPTED
FLOW 44 WEIGHTED: 7 -> 9 | ACCEPTED
FLOW 45 IP: 3 -> 10 | ACCEPTED
FLOW 45 CSPF: 3 -> 10 | ACCEPTED
FLOW 45 WEIGHTED: 3 -> 10 | ACCEPTED
FLOW 46 IP: 9 -> 2 | ACCEPTED
FLOW 46 CSPF: 9 -> 2 | ACCEPTED
FLOW 46 WEIGHTED: 9 -> 2 | ACCEPTED
FLOW 47 IP: 8 -> 12 | ACCEPTED
FLOW 47 CSPF: 8 -> 12 | ACCEPTED
FLOW 47 WEIGHTED: 8 -> 12 | ACCEPTED
FLOW 48 IP: 13 -> 6 -> 10 | ACCEPTED
FLOW 48 CSPF: 13 -> 6 -> 10 | ACCEPTED
FLOW 48 WEIGHTED: 13 -> 4 -> 10 | ACCEPTED
FLOW 49 IP: 13 -> 11 -> 0 | ACCEPTED
